도서명,저자,출판연도,이미지_URL_L,책_종류,세부_분야,출판연도_정규화
해리 포터,J.K. 롤링,2007,https://images.gr-assets.com/books/1474171184m/136251.jpg,문과 책,인문/사회/문학,0.9973453676665782
다빈치 코드,댄 브라운,2003,https://images.gr-assets.com/books/1303252999m/968.jpg,문과 책,인문/사회/문학,0.9962835147332094
해리 포터,J.K. 롤링,2005,https://images.gr-assets.com/books/1361039191m/1.jpg,문과 책,인문/사회/문학,0.9968144411998938
Lord of the Flies,William Golding,1954,https://images.gr-assets.com/books/1327869409m/7624.jpg,문과 책,인문/사회/문학,0.9832758162994426
로미오와 줄리엣,윌리엄 셰익스피어,1595,https://images.gr-assets.com/books/1327872146m/18135.jpg,문과 책,인문/사회/문학,0.8879745155295993
Gone Girl,Gillian Flynn,2012,https://images.gr-assets.com/books/1339602131m/8442457.jpg,문과 책,인문/사회/문학,0.9986726838332891
The Help,Kathryn Stockett,2009,https://images.gr-assets.com/books/1346100365m/4667024.jpg,문과 책,인문/사회/문학,0.9978762941332626
Of Mice and Men,John Steinbeck,1937,https://images.gr-assets.com/books/1437235233m/890.jpg,문과 책,인문/사회/문학,0.9787629413326255
Memoirs of a Geisha,Arthur Golden,1997,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9946907353331564
Fifty Shades of Grey,E.L. James,2011,https://images.gr-assets.com/books/1385207843m/10818853.jpg,문과 책,인문/사회/문학,0.998407220599947
O Alquimista,"Paulo Coelho, Alan R. Clarke",1988,https://images.gr-assets.com/books/1483412266m/865.jpg,문과 책,인문/사회/문학,0.9923015662330767
The Giver,Lois Lowry,1993,https://images.gr-assets.com/books/1342493368m/3636.jpg,문과 책,인문/사회/문학,0.9936288823997876
"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950,https://images.gr-assets.com/books/1353029077m/100915.jpg,문과 책,인문/사회/문학,0.9822139633660738
The Time Traveler's Wife,Audrey Niffenegger,2003,https://images.gr-assets.com/books/1437728815m/14050.jpg,문과 책,인문/사회/문학,0.9962835147332094
A Game of Thrones,George R.R. Martin,1996,https://images.gr-assets.com/books/1436732693m/13496.jpg,문과 책,인문/사회/문학,0.9944252720998141
"Eat, pray, love",Elizabeth Gilbert,2006,https://images.gr-assets.com/books/1503066414m/19501.jpg,문과 책,인문/사회/문학,0.9970799044332361
The Lightning Thief,Rick Riordan,2005,https://images.gr-assets.com/books/1400602609m/28187.jpg,문과 책,인문/사회/문학,0.9968144411998938
Little Women,Louisa May Alcott,1868,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9604459782320149
Jane Eyre,"Charlotte Brontë, Michael Mason",1847,https://images.gr-assets.com/books/1327867269m/10210.jpg,문과 책,인문/사회/문학,0.9548712503318291
The Notebook,Nicholas Sparks,1996,https://images.gr-assets.com/books/1385738917m/15931.jpg,문과 책,인문/사회/문학,0.9944252720998141
Life of Pi,Yann Martel,2001,https://images.gr-assets.com/books/1320562005m/4214.jpg,문과 책,인문/사회/문학,0.9957525882665252
Water for Elephants,Sara Gruen,2006,https://images.gr-assets.com/books/1494428973m/43641.jpg,문과 책,인문/사회/문학,0.9970799044332361
The Book Thief,Markus Zusak,2005,https://images.gr-assets.com/books/1390053681m/19063.jpg,문과 책,인문/사회/문학,0.9968144411998938
Fahrenheit 451,Ray Bradbury,1953,https://images.gr-assets.com/books/1351643740m/4381.jpg,문과 책,인문/사회/문학,0.9830103530661003
트와일라잇,스테파니 메이어,2006,https://images.gr-assets.com/books/1361039440m/49041.jpg,문과 책,인문/사회/문학,0.9970799044332361
Where the Sidewalk Ends,Shel Silverstein,1974,https://images.gr-assets.com/books/1168052448m/30119.jpg,문과 책,인문/사회/문학,0.9885850809662862
City of Bones,Cassandra Clare,2007,https://images.gr-assets.com/books/1432730315m/256683.jpg,문과 책,인문/사회/문학,0.9973453676665782
Eclipse,스테파니 메이어,2007,https://images.gr-assets.com/books/1361038355m/428263.jpg,문과 책,인문/사회/문학,0.9973453676665782
Eragon,Christopher Paolini,2002,https://images.gr-assets.com/books/1366212852m/113436.jpg,문과 책,인문/사회/문학,0.9960180514998673
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,https://images.gr-assets.com/books/1327656754m/11.jpg,문과 책,인문/사회/문학,0.9899123971329971
멋진 신세계,올더스 헉슬리,1932,https://images.gr-assets.com/books/1487389574m/5129.jpg,문과 책,인문/사회/문학,0.9774356251659146
Breaking Dawn,스테파니 메이어,2008,https://images.gr-assets.com/books/1361039438m/1162543.jpg,문과 책,인문/사회/문학,0.9976108308999205
The Secret Life of Bees,Sue Monk Kidd,2001,https://images.gr-assets.com/books/1473454532m/37435.jpg,문과 책,인문/사회/문학,0.9957525882665252
The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884,https://images.gr-assets.com/books/1405973850m/2956.jpg,문과 책,인문/사회/문학,0.9646933899654899
Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",1952,https://images.gr-assets.com/books/1439632243m/24178.jpg,문과 책,인문/사회/문학,0.9827448898327582
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,https://images.gr-assets.com/books/1479863624m/1618.jpg,문과 책,인문/사회/문학,0.9962835147332094
The Girl on the Train,Paula Hawkins,2015,https://images.gr-assets.com/books/1490903702m/22557272.jpg,문과 책,인문/사회/문학,0.9994690735333156
Northern Lights,Philip Pullman,1995,https://images.gr-assets.com/books/1451271747m/119322.jpg,문과 책,인문/사회/문학,0.994159808866472
Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9548712503318291
My Sister's Keeper,Jodi Picoult,2004,https://images.gr-assets.com/books/1369504683m/10917.jpg,문과 책,인문/사회/문학,0.9965489779665517
"Slaughterhouse-Five, or The Children's Crusade",Kurt Vonnegut Jr.,1969,https://images.gr-assets.com/books/1440319389m/4981.jpg,문과 책,인문/사회/문학,0.9872577647995753
Gone with the Wind,Margaret Mitchell,1936,https://images.gr-assets.com/books/1328025229m/18405.jpg,문과 책,인문/사회/문학,0.9784974780992832
A Thousand Splendid Suns,Khaled Hosseini,2007,https://images.gr-assets.com/books/1345958969m/128029.jpg,문과 책,인문/사회/문학,0.9973453676665782
The Perks of Being a Wallflower,Stephen Chbosky,1999,https://images.gr-assets.com/books/1167352178m/22628.jpg,문과 책,인문/사회/문학,0.9952216617998408
Insurgent,Veronica Roth,2012,https://images.gr-assets.com/books/1325667729m/11735983.jpg,문과 책,인문/사회/문학,0.9986726838332891
Ender's Game,Orson Scott Card,1985,https://images.gr-assets.com/books/1408303130m/375802.jpg,문과 책,인문/사회/문학,0.9915051765330503
"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,https://images.gr-assets.com/books/1381512375m/18490.jpg,문과 책,인문/사회/문학,0.9471728165649058
The Shining,Stephen King,1977,https://images.gr-assets.com/books/1353277730m/11588.jpg,문과 책,인문/사회/문학,0.9893814706663129
The Host,스테파니 메이어,2008,https://images.gr-assets.com/books/1318009171m/1656001.jpg,문과 책,인문/사회/문학,0.9976108308999205
Looking for Alaska,존 그린,2005,https://images.gr-assets.com/books/1394798630m/99561.jpg,문과 책,인문/사회/문학,0.9968144411998938
nan,Helen Fielding,1996,https://images.gr-assets.com/books/1292060045m/227443.jpg,문과 책,인문/사회/문학,0.9944252720998141
Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811,https://images.gr-assets.com/books/1397245675m/14935.jpg,문과 책,인문/사회/문학,0.9453145739315105
Holes,"Louis Sachar, Louis Sachar",1998,https://images.gr-assets.com/books/1327781893m/38709.jpg,문과 책,인문/사회/문학,0.9949561985664985
The Devil Wears Prada,Lauren Weisberger,2003,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9962835147332094
Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,https://images.gr-assets.com/books/1390173285m/1381.jpg,문과 책,인문/사회/문학,0.2734271303424476
Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,https://images.gr-assets.com/books/1367545443m/157993.jpg,문과 책,인문/사회/문학,0.9811521104327052
The Glass Castle,Jeannette Walls,2005,https://images.gr-assets.com/books/1400930557m/7445.jpg,문과 책,인문/사회/문학,0.9968144411998938
Into the Wild,Jon Krakauer,1996,https://images.gr-assets.com/books/1403173986m/1845.jpg,문과 책,인문/사회/문학,0.9944252720998141
A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,https://images.gr-assets.com/books/1344922523m/1953.jpg,문과 책,인문/사회/문학,0.9580568091319352
Jurassic Park,Michael Crichton,1990,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9928324926997611
The Giving Tree,Shel Silverstein,1964,https://images.gr-assets.com/books/1174210942m/370493.jpg,문과 책,인문/사회/문학,0.9859304486328644
A Time to Kill,John Grisham,1989,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9925670294664191
Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",1958,https://images.gr-assets.com/books/1473495285m/1617.jpg,문과 책,인문/사회/문학,0.9843376692328114
Paper Towns,존 그린,2008,https://images.gr-assets.com/books/1349013610m/6442769.jpg,문과 책,인문/사회/문학,0.9976108308999205
The Princess Bride,William Goldman,1973,https://images.gr-assets.com/books/1327903636m/21787.jpg,문과 책,인문/사회/문학,0.9883196177329441
The Outsiders,S.E. Hinton,1967,https://images.gr-assets.com/books/1442129426m/231804.jpg,문과 책,인문/사회/문학,0.9867268383328909
The Maze Runner,James Dashner,2009,https://images.gr-assets.com/books/1375596592m/6186357.jpg,문과 책,인문/사회/문학,0.9978762941332626
Freakonomics,"Steven D. Levitt, Stephen J. Dubner",2005,https://images.gr-assets.com/books/1327909092m/1202.jpg,문과 책,인문/사회/문학,0.9968144411998938
The Secret Garden,Frances Hodgson Burnett,1911,https://images.gr-assets.com/books/1327873635m/2998.jpg,문과 책,인문/사회/문학,0.9718608972657288
Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa",1967,https://images.gr-assets.com/books/1327881361m/320.jpg,문과 책,인문/사회/문학,0.9867268383328909
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",1891,https://images.gr-assets.com/books/1424596966m/5297.jpg,문과 책,인문/사회/문학,0.9665516325988852
Fifty Shades Freed,E.L. James,2012,https://images.gr-assets.com/books/1336418837m/13536860.jpg,문과 책,인문/사회/문학,0.9986726838332891
Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",1897,https://images.gr-assets.com/books/1387151694m/17245.jpg,문과 책,인문/사회/문학,0.9681444119989382
Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",2006,https://images.gr-assets.com/books/1351778881m/5060378.jpg,문과 책,인문/사회/문학,0.9970799044332361
Fifty Shades Darker,E.L. James,2011,https://images.gr-assets.com/books/1358266080m/11857408.jpg,문과 책,인문/사회/문학,0.998407220599947
The Poisonwood Bible,Barbara Kingsolver,1998,https://images.gr-assets.com/books/1412242487m/7244.jpg,문과 책,인문/사회/문학,0.9949561985664985
Me Talk Pretty One Day,David Sedaris,2000,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9954871250331829
Where the Wild Things Are,Maurice Sendak,1963,https://images.gr-assets.com/books/1384434560m/19543.jpg,문과 책,인문/사회/문학,0.9856649853995223
Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",1844,https://images.gr-assets.com/books/1309203605m/7126.jpg,문과 책,인문/사회/문학,0.9540748606318026
The Road,Cormac McCarthy,2006,https://images.gr-assets.com/books/1439197219m/6288.jpg,문과 책,인문/사회/문학,0.9970799044332361
Allegiant,Veronica Roth,2013,https://images.gr-assets.com/books/1395582745m/18710190.jpg,문과 책,인문/사회/문학,0.9989381470666314
Bossypants,Tina Fey,2011,https://images.gr-assets.com/books/1481509554m/9418327.jpg,문과 책,인문/사회/문학,0.998407220599947
A Walk to Remember,Nicholas Sparks,1999,https://images.gr-assets.com/books/1385738968m/3473.jpg,문과 책,인문/사회/문학,0.9952216617998408
Confessions of a Shopaholic,Sophie Kinsella,2000,https://images.gr-assets.com/books/1327872404m/9416.jpg,문과 책,인문/사회/문학,0.9954871250331829
Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,https://images.gr-assets.com/books/1411852091m/24280.jpg,문과 책,인문/사회/문학,0.9588531988319619
A Clash of Kings,George R.R. Martin,1998,https://images.gr-assets.com/books/1358254974m/10572.jpg,문과 책,인문/사회/문학,0.9949561985664985
The Memory Keeper's Daughter,Kim Edwards,2005,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9968144411998938
Me Before You,Jojo Moyes,2012,https://images.gr-assets.com/books/1357108762m/15507958.jpg,문과 책,인문/사회/문학,0.9986726838332891
Catch-22,Joseph Heller,1961,https://images.gr-assets.com/books/1463157317m/168668.jpg,문과 책,인문/사회/문학,0.9851340589328379
Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",1997,https://images.gr-assets.com/books/1423763749m/6900.jpg,문과 책,인문/사회/문학,0.9946907353331564
Middlesex,Jeffrey Eugenides,2002,https://images.gr-assets.com/books/1437029776m/2187.jpg,문과 책,인문/사회/문학,0.9960180514998673
The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876,https://images.gr-assets.com/books/1404811979m/24583.jpg,문과 책,인문/사회/문학,0.9625696840987523
A Wrinkle in Time,Madeleine L'Engle,1962,https://images.gr-assets.com/books/1329061522m/18131.jpg,문과 책,인문/사회/문학,0.98539952216618
The Joy Luck Club,Amy Tan,1989,https://images.gr-assets.com/books/1304978653m/7763.jpg,문과 책,인문/사회/문학,0.9925670294664191
The Handmaid's Tale,Margaret Atwood,1985,https://images.gr-assets.com/books/1498057733m/38447.jpg,문과 책,인문/사회/문학,0.9915051765330503
The Sisterhood of the Traveling Pants,Ann Brashares,2001,https://images.gr-assets.com/books/1461611233m/452306.jpg,문과 책,인문/사회/문학,0.9957525882665252
Lolita,"Vladimir Nabokov, Craig Raine",1955,https://images.gr-assets.com/books/1377756377m/7604.jpg,문과 책,인문/사회/문학,0.9835412795327847
Wicked,"Gregory Maguire, Douglas Smith",1995,https://images.gr-assets.com/books/1437733293m/37442.jpg,문과 책,인문/사회/문학,0.994159808866472
The Firm,John Grisham,1991,https://images.gr-assets.com/books/1418465200m/5358.jpg,문과 책,인문/사회/문학,0.9930979559331032
Room,Emma Donoghue,2010,https://images.gr-assets.com/books/1344265419m/7937843.jpg,문과 책,인문/사회/문학,0.9981417573666047
햄릿,윌리엄 셰익스피어,1600,https://images.gr-assets.com/books/1351051208m/1420.jpg,문과 책,인문/사회/문학,0.8893018316963102
Dune,Frank Herbert,1965,https://images.gr-assets.com/books/1434908555m/234225.jpg,문과 책,인문/사회/문학,0.9861959118662067
The Tipping Point,Malcolm Gladwell,2000,https://images.gr-assets.com/books/1473396980m/2612.jpg,문과 책,인문/사회/문학,0.9954871250331829
Steve Jobs,Walter Isaacson,2011,https://images.gr-assets.com/books/1327861368m/11084145.jpg,문과 책,인문/사회/문학,0.998407220599947
One Flew Over the Cuckoo's Nest,Ken Kesey,1962,https://images.gr-assets.com/books/1485308778m/332613.jpg,문과 책,인문/사회/문학,0.98539952216618
The Old Man and the Sea,Ernest Hemingway,1952,https://images.gr-assets.com/books/1329189714m/2165.jpg,문과 책,인문/사회/문학,0.9827448898327582
The Grapes of Wrath,John Steinbeck,1939,https://images.gr-assets.com/books/1352912927m/4395.jpg,문과 책,인문/사회/문학,0.9792938677993099
The Five People You Meet in Heaven,Mitch Albom,2003,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9962835147332094
Anne of Green Gables,L.M. Montgomery,1908,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9710645075657023
City of Glass,Cassandra Clare,2009,https://images.gr-assets.com/books/1369452339m/3777732.jpg,문과 책,인문/사회/문학,0.9978762941332626
A Storm of Swords,George R.R. Martin,2000,https://images.gr-assets.com/books/1497931121m/62291.jpg,문과 책,인문/사회/문학,0.9954871250331829
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996,https://images.gr-assets.com/books/1408313524m/137791.jpg,문과 책,인문/사회/문학,0.9944252720998141
Outlander,Diana Gabaldon,1991,https://images.gr-assets.com/books/1402600310m/10964.jpg,문과 책,인문/사회/문학,0.9930979559331032
The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,https://images.gr-assets.com/books/1404810944m/12296.jpg,문과 책,인문/사회/문학,0.9556676400318557
Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,2011,https://images.gr-assets.com/books/1472782916m/9460487.jpg,문과 책,인문/사회/문학,0.998407220599947
Luftslottet som sprängdes,"Stieg Larsson, Reg Keeland",2007,https://images.gr-assets.com/books/1327708260m/6892870.jpg,문과 책,인문/사회/문학,0.9973453676665782
The Martian,Andy Weir,2012,https://images.gr-assets.com/books/1413706054m/18007564.jpg,문과 책,인문/사회/문학,0.9986726838332891
The Pillars of the Earth,Ken Follett,1989,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,이과 책,자연/공학,0.9925670294664191
nan,Anthony Doerr,2014,https://images.gr-assets.com/books/1451445646m/18143977.jpg,문과 책,인문/사회/문학,0.9992036102999735
Unbroken,Laura Hillenbrand,2010,https://images.gr-assets.com/books/1327861115m/8664353.jpg,문과 책,인문/사회/문학,0.9981417573666047
Deception Point,댄 브라운,2001,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9957525882665252
The Goldfinch,Donna Tartt,2013,https://images.gr-assets.com/books/1451554970m/17333223.jpg,문과 책,인문/사회/문학,0.9989381470666314
Thirteen Reasons Why,Jay Asher,2007,https://images.gr-assets.com/books/1333822506m/1217100.jpg,문과 책,인문/사회/문학,0.9973453676665782
Girl with a Pearl Earring,Tracy Chevalier,1999,https://images.gr-assets.com/books/1327197580m/2865.jpg,문과 책,인문/사회/문학,0.9952216617998408
If I Stay,Gayle Forman,2009,https://images.gr-assets.com/books/1347462970m/4374400.jpg,문과 책,인문/사회/문학,0.9978762941332626
The Red Tent,Anita Diamant,1997,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9946907353331564
The Sea of Monsters,Rick Riordan,2006,https://images.gr-assets.com/books/1400602661m/28186.jpg,문과 책,인문/사회/문학,0.9970799044332361
Dear John,Nicholas Sparks,2006,https://images.gr-assets.com/books/1397749854m/5526.jpg,문과 책,인문/사회/문학,0.9970799044332361
City of Ashes,Cassandra Clare,2008,https://images.gr-assets.com/books/1432730356m/1582996.jpg,문과 책,인문/사회/문학,0.9976108308999205
The Tragedy of Macbeth,윌리엄 셰익스피어,1606,https://images.gr-assets.com/books/1459795224m/8852.jpg,문과 책,인문/사회/문학,0.8908946110963631
The Two Towers,J.R.R. 톨킨,1954,https://images.gr-assets.com/books/1298415523m/15241.jpg,문과 책,인문/사회/문학,0.9832758162994426
Something Borrowed,Emily Giffin,2004,https://images.gr-assets.com/books/1305063535m/42156.jpg,문과 책,인문/사회/문학,0.9965489779665517
Green Eggs and Ham,"Dr. Seuss, לאה נאור",1960,https://images.gr-assets.com/books/1468680100m/23772.jpg,문과 책,인문/사회/문학,0.9848685956994956
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",1964,https://images.gr-assets.com/books/1309211401m/6310.jpg,문과 책,인문/사회/문학,0.9859304486328644
The Battle of the Labyrinth,Rick Riordan,2008,https://images.gr-assets.com/books/1443142158m/2120932.jpg,문과 책,인문/사회/문학,0.9976108308999205
Great Expectations,Charles Dickens,1860,https://images.gr-assets.com/books/1327920219m/2623.jpg,문과 책,인문/사회/문학,0.9583222723652774
The Return of the King,J.R.R. 톨킨,1955,https://images.gr-assets.com/books/1389977161m/18512.jpg,문과 책,인문/사회/문학,0.9835412795327847
L’Étranger,"Albert Camus, Matthew    Ward",1942,https://images.gr-assets.com/books/1349927872m/49552.jpg,문과 책,인문/사회/문학,0.9800902574993364
The Lost Hero,Rick Riordan,2010,https://images.gr-assets.com/books/1464201003m/7736182.jpg,문과 책,인문/사회/문학,0.9981417573666047
Eleanor & Park,Rainbow Rowell,2013,https://images.gr-assets.com/books/1341952742m/15745753.jpg,문과 책,인문/사회/문학,0.9989381470666314
A Feast for Crows,George R.R. Martin,2005,https://images.gr-assets.com/books/1429538615m/13497.jpg,문과 책,인문/사회/문학,0.9968144411998938
Matched,Ally Condie,2010,https://images.gr-assets.com/books/1367706191m/7735333.jpg,문과 책,인문/사회/문학,0.9981417573666047
American Gods,Neil Gaiman,2001,https://images.gr-assets.com/books/1258417001m/4407.jpg,문과 책,인문/사회/문학,0.9957525882665252
The Stand,"Stephen King, Bernie Wrightson",1978,https://images.gr-assets.com/books/1213131305m/149267.jpg,문과 책,인문/사회/문학,0.989646933899655
The Last Song,Nicholas Sparks,2008,https://images.gr-assets.com/books/1286549186m/6400090.jpg,문과 책,인문/사회/문학,0.9976108308999205
Digital Fortress,댄 브라운,1998,https://images.gr-assets.com/books/1360095966m/11125.jpg,문과 책,인문/사회/문학,0.9949561985664985
Emma,"Jane Austen, Fiona Stafford",1815,https://images.gr-assets.com/books/1373627931m/6969.jpg,문과 책,인문/사회/문학,0.9463764268648793
Анна Каренина,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,https://images.gr-assets.com/books/1352422904m/15823480.jpg,문과 책,인문/사회/문학,0.9628351473320946
A Clockwork Orange,Anthony Burgess,1962,https://images.gr-assets.com/books/1348339306m/227463.jpg,문과 책,인문/사회/문학,0.98539952216618
The Shack,William Paul Young,2007,https://images.gr-assets.com/books/1344270232m/1812457.jpg,문과 책,인문/사회/문학,0.9973453676665782
The Last Olympian,Rick Riordan,2009,https://images.gr-assets.com/books/1327924597m/4502507.jpg,문과 책,인문/사회/문학,0.9978762941332626
It,Stephen King,1986,https://images.gr-assets.com/books/1309376909m/18342.jpg,문과 책,인문/사회/문학,0.9917706397663923
Преступление и наказание,"Fyodor Dostoyevsky, David McDuff",1866,https://images.gr-assets.com/books/1382846449m/7144.jpg,문과 책,인문/사회/문학,0.9599150517653305
The Bell Jar,Sylvia Plath,1963,https://images.gr-assets.com/books/1473890514m/6514.jpg,문과 책,인문/사회/문학,0.9856649853995223
Angela's Ashes,Frank McCourt,1996,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9944252720998141
Siddhartha,헤르만 헤세,1922,https://images.gr-assets.com/books/1428715580m/52036.jpg,문과 책,인문/사회/문학,0.9747809928324929
In Cold Blood,Truman Capote,1965,https://images.gr-assets.com/books/1424931136m/168642.jpg,문과 책,인문/사회/문학,0.9861959118662067
Beautiful Creatures,"Kami Garcia, Margaret Stohl",2009,https://images.gr-assets.com/books/1327873282m/6304335.jpg,문과 책,인문/사회/문학,0.9978762941332626
Clockwork Angel,Cassandra Clare,2010,https://images.gr-assets.com/books/1454962884m/7171637.jpg,문과 책,인문/사회/문학,0.9981417573666047
Matilda,"Roald Dahl, Quentin Blake",1988,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,문과 책,인문/사회/문학,0.9923015662330767
